[13:52:51] [info] DEAKO: Window Size: (1600, 900)
[13:52:51] [info] DEAKO: Created `deako_editor`!
[13:52:51] [trace] APP: scene layer created
[13:52:51] [trace] APP: gui layer created
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
[13:52:51] [trace] APP: scene layer updated
[13:52:51] [trace] APP: gui layer updated
